160	176	222
160	176	222
160	176	222
161	176	222
161	176	222
161	176	222
162	176	222
162	176	222
163	176	222
163	176	222
163	176	222
164	176	222
164	176	222
165	177	222
165	176	222
165	176	222
166	177	222
166	177	222
167	177	222
160	160	128
172	186	222
160	160	128
173	187	222
174	187	222
175	187	222
176	187	222
179	190	222
179	189	222
179	187	222
179	186	222
179	184	222
179	184	222
178	182	222
178	181	222
178	180	222
178	179	222
178	178	222
178	177	222
178	176	222
178	176	222
178	175	222
178	174	222
178	174	222
178	173	222
178	172	222
179	172	222
178	171	222
178	170	222
178	170	222
178	169	222
178	169	222
178	168	222
178	168	222
178	167	222
178	167	222
178	166	222
178	166	222
178	165	222
178	165	222
178	164	222
178	164	222
178	163	222
178	163	222
178	162	222
178	162	222
178	162	222
178	161	222
178	161	222
178	160	222
160	160	128
160	160	128
160	160	128
178	159	222
178	158	222
178	158	222
178	157	222
178	157	222
178	156	222
178	156	222
178	156	222
178	155	222
178	155	222
178	154	222
178	154	222
178	153	222
178	153	222
178	153	222
178	152	222
178	152	222
178	151	222
178	151	222
178	150	222
178	150	222
178	149	222
160	160	128
178	148	222
178	148	222
178	147	222
178	147	222
178	146	222
178	145	222
178	144	222
178	144	222
178	143	222
178	143	222
178	142	222
178	141	222
178	140	222
178	139	222
175	141	222
174	142	222
173	142	222
173	142	222
172	142	222
171	142	222
171	142	222
170	142	222
170	142	222
170	141	222
160	160	128
178	122	222
160	160	128
178	120	222
178	118	222
177	116	222
178	113	222
177	110	222
178	106	222
160	160	128
160	160	128
162	147	222
160	160	128
160	160	128
161	149	222
160	160	128
161	147	222
160	149	222
160	149	222
160	160	128
159	149	222
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
157	149	222
157	149	222
160	160	128
156	149	222
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
82	-22	222
160	160	128
78	-21	222
160	160	128
78	-11	222
78	-2	222
78	6	222
73	6	222
69	6	222
64	5	222
59	6	222
34	-22	222
23	-21	222
160	160	128
3	-22	222
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
-23	80	222
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
-25	107	222
160	160	128
-24	112	222
160	160	128
160	160	128
-23	129	222
160	160	128
-25	133	222
160	160	128
-24	138	222
-23	142	222
-23	146	222
-23	150	222
-25	154	222
-25	158	222
-50	163	222
-3	166	222
-27	171	222
128	164	222
160	160	128
129	164	222
129	165	222
129	166	222
129	166	222
130	167	222
128	168	222
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
-33	316	222
160	160	128
160	160	128
160	160	128
160	160	128
57	264	222
160	160	128
61	265	222
160	160	128
65	265	222
69	265	222
74	265	222
77	265	222
81	264	222
85	264	222
87	266	222
87	272	222
87	278	222
87	283	222
87	289	222
160	160	128
160	160	128
160	160	128
55	442	222
160	160	128
160	160	128
160	160	128
65	479	222
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
157	176	222
157	176	222
158	176	222
158	176	222
159	176	222
159	176	222
